site,plot,trt,F08biom,F08stems,F08size,F08lseed,F08soseed,F08CL,F08CLX4,F08totsds,S09sects,S09sewt,S09sesz,S09sbank,F09bio,F09stems,F09size,F09lseed,F09soseed,F09CL,F09CLX4,F09totsds,S10sects,S10sewt,S10sesz,S10banksoil,S10bankthatch,F10bio,F10stems,F10size,F10lseed,F10soseed,F10CL,F10CLX4,F10totsds
2,53,H,,,,,,,,,,,,,,0,,0,0,0,0,0,1,,,,,,0,,,,,,
2,54,H,,,,,,,,,,,,,,0,,0,0,0,0,0,9,0.09,0.01,,,,0,,,,,,
2,55,REF,12.59,172,0.073197674,639,232,47,188,1059,489,1.934,0.00395501,12,7.12,97,0.073402062,92,3,55,220,315,170,0.8,0.004705882,,,1.32,6,0.22,,,,,
2,56,REF,11.08,103,0.107572816,152,766,49,196,1114,746,2.909,0.003899464,22,8.03,61,0.131639344,361,26,91,364,751,279,2.63,0.009426523,,,15,,,,,,,
2,57,REF,8.21,43,0.190930233,461,972,45,180,1613,894,4.289,0.004797539,11,6.02,52,0.115769231,191,30,51,204,425,192,1.27,0.006614583,,,2.97,36,0.0825,,,,,
2,58,REF,6.13,28,0.218928571,198,113,65,260,571,939,4.15,0.004419595,13,2.13,35,0.060857143,158,32,66,264,454,226,2.33,0.010309735,,,8.18,64,0.1278125,,,,,
2,59,REF,9.18,110,0.083454545,90,331,42,168,589,455,1.868,0.004105495,10,3.24,63,0.051428571,504,19,106,424,947,335,1.68,0.005014925,,,8.1,88,0.092045455,,,,,
2,60,REF,10,107,0.093457944,151,309,40,160,620,213,0.803,0.003769953,10,13.58,82,0.165609756,352,55,36,144,551,107,0.7,0.006542056,,,5.76,53,0.108679245,,,,,
3,1,S09,,,,,,,,,11,0.062,0.005636364,0,5.4,16,0.3375,234,59,94,376,669,209,1.78,0.008516746,,,7.18,53,0.135471698,,,,,
3,2,S09,,,,,,,,,60,0.218,0.003633333,0,8.42,98,0.085918367,173,28,182,728,929,153,1.77,0.011568627,,,,35,,,,,,
3,3,S09,,,,,,,,,44,0.233,0.005295455,8,3.43,14,0.245,150,19,60,240,409,229,2.35,0.010262009,,,,26,,,,,,
3,4,S09,,,,,,,,,101,0.407,0.004029703,0,,,,407,149,58,232,788,289,1.39,0.004809689,,,9.86,81,0.121728395,,,,,
3,5,S09,,,,,,,,,38,0.227,0.005973684,0,7.5,69,0.108695652,64,13,19,76,153,59,0.37,0.006271186,,,7.2,72,0.1,,,,,
3,6,S09,,,,,,,,,39,0.183,0.004692308,1,2.84,22,0.129090909,337,32,37,148,517,129,1.34,0.010387597,,,11.58,34,0.340588235,,,,,
3,7,S10,,,,,,,,,,,,,,,,,,,,,56,0.27,0.004821429,,,14.78,18,0.821111111,,,,,
3,8,S10,,,,,,,,,,,,,,,,,,,,,114,1.26,0.011052632,,,,30,,,,,,
3,9,S10,,,,,,,,,,,,,,,,,,,,,36,0.48,0.013333333,,,2.81,22,0.127727273,,,,,
3,10,S10,,,,,,,,,,,,,,,,,,,,,17,0.18,0.010588235,,,16.67,29,0.574827586,,,,,
3,11,S10,,,,,,,,,,,,,,,,,,,,,47,0.36,0.007659574,,,3.35,9,0.372222222,,,,,
3,12,S10,,,,,,,,,,,,,,,,,,,,,97,0.61,0.00628866,,,3.97,23,0.172608696,,,,,
3,13,S0910,,,,,,,,,,,,,,,,,,,,,38,0.26,0.006842105,,,10.35,20,0.5175,,,,,
3,14,S0910,,,,,,,,,,,,,,,,,,,,,56,0.29,0.005178571,,,16.54,64,0.2584375,,,,,
3,15,S0910,,,,,,,,,,,,,,,,,,,,,79,1.27,0.016075949,,,16.045,75,0.213933333,,,,,
3,16,S0910,,,,,,,,,,,,,,,,,,,,,171,1.09,0.006374269,,,2.51,13,0.193076923,,,,,
3,17,S0910,,,,,,,,,,,,,,,,,,,,,35,0.31,0.008857143,,,17.04,23,0.740869565,,,,,
3,18,S0910,,,,,,,,,,,,,,,,,,,,,130,0.21,0.001615385,,,31.06,73,0.425479452,,,,,
3,19,S09H,,,,,,,,,165,0.709,0.00429697,6,4.88,28,0.174285714,336,134,60,240,710,267,5.5,0.020599251,,,3.2,23,0.139130435,,,,,
3,20,S09H,,,,,,,,,73,0.329,0.004506849,0,4.21,,,238,19,31,124,381,187,1.88,0.010053476,,,6.69,35,0.191142857,,,,,
3,21,S09H,,,,,,,,,342,1.263,0.003692982,2,7.1,36,0.197222222,344,40,47,188,572,259,1.85,0.007142857,,,3.87,46,0.084130435,,,,,
3,22,S09H,,,,,,,,,1,0.003,0.003,2,0.46,3,0.153333333,489,74,50,200,763,214,2.38,0.011121495,,,6.44,20,0.322,,,,,
3,23,S09H,,,,,,,,,3,0.012,0.004,0,,,,224,34,38,152,410,154,2.46,0.015974026,,,3.89,23,0.169130435,,,,,
3,24,S09H,,,,,,,,,2,0.029,0.0145,0,0.077,1,0.077,121,22,70,280,423,,1.58,,,,10.61,52,0.204038462,,,,,
3,25,F09,,,,,,,,,,,,,,,,,,,,,120,1.22,0.010166667,,,9.57,43,0.22255814,,,,,
3,26,F09,,,,,,,,,,,,,,,,,,,,,48,0.62,0.012916667,,,6.26,38,0.164736842,,,,,
3,27,F09,,,,,,,,,,,,,,,,,,,,,137,1.89,0.01379562,,,23.34,110,0.212181818,,,,,
3,28,F09,,,,,,,,,,,,,,,,,,,,,172,1.36,0.007906977,,,7.75,50,0.155,,,,,
3,29,F09,,,,,,,,,,,,,,,,,,,,,46,0.34,0.007391304,,,22.45,64,0.35078125,,,,,
3,30,F09,,,,,,,,,,,,,,,,,,,,,55,0.46,0.008363636,,,7.56,35,0.216,,,,,
3,31,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,36,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,37,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,38,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43,F09H,,,,,,,,,,,,,,,,,,,,,3,0.1,0.033333333,,,0.71,7,0.101428571,,,,,
3,44,F09H,,,,,,,,,,,,,,,,,,,,,6,0.02,0.003333333,,,1.5,7,0.214285714,,,,,
3,45,F09H,,,,,,,,,,,,,,,,,,,,,7,0.06,0.008571429,,,0.88,8,0.11,,,,,
3,46,F09H,,,,,,,,,,,,,,,,,,,,,19,0.3,0.015789474,,,11.67,,,,,,,
3,47,F09H,,,,,,,,,,,,,,,,,,,,,34,0.36,0.010588235,,,2.92,10,0.292,,,,,
3,48,F09H,,,,,,,,,,,,,,,,,,,,,16,0.22,0.01375,,,0.3,2,0.15,,,,,
3,49,H,,,,,,,,,,,,,,0,,0,0,0,0,0,2,0.01,0.005,,,,0,,,,,,
3,50,H,,,,,,,,,,,,,,0,,3,0,0,0,3,6,0.01,0.001666667,,,,0,,,,,,
3,51,H,,,,,,,,,,,,,,0,,0,0,0,0,0,7,0.03,0.004285714,,,,0,,,,,,
3,52,H,,,,,,,,,,,,,,0,,0,0,0,0,0,5,0.02,0.004,,,,0,,,,,,
3,53,H,,,,,,,,,,,,,,0,,1,0,0,0,1,7,0.07,0.01,,,,0,,,,,,
3,54,H,,,,,,,,,,,,,,0,,2,0,0,0,2,8,0.01,0.00125,,,,0,,,,,,
3,55,REF,13.14,69,0.190434783,1572,154,78,312,2038,1365,6.985,0.005117216,1,14.37,49,0.293265306,428,66,71,284,778,297,3.5,0.011784512,,,,45,,,,,,
3,56,REF,11.42,82,0.139268293,433,530,181,724,1687,551,3.877,0.007036298,12,6.55,45,0.145555556,190,43,63,252,485,165,1.79,0.010848485,,,3.01,20,0.1505,,,,,
3,57,REF,5.64,33,0.170909091,530,91,19,76,697,337,2.015,0.005979228,3,3.57,55,0.064909091,1049,86,208,832,1967,121,0.44,0.003636364,,,9.22,55,0.167636364,,,,,
3,58,REF,15.76,178,0.088539326,202,212,,,,639,2.555,0.003998435,6,17.91,118,0.151779661,229,78,108,432,739,220,1.18,0.005363636,,,4.25,23,0.184782609,,,,,
3,59,REF,8.22,40,0.2055,263,264,42,168,695,455,2.262,0.004971429,10,10.09,47,0.214680851,494,29,76,304,827,426,1.39,0.003262911,,,16.67,167,0.099820359,,,,,
3,60,REF,24.92,249,0.100080321,350,283,27,108,741,193,1.411,0.007310881,1,11.52,41,0.28097561,507,27,55,220,754,111,1.77,0.015945946,,,6.89,31,0.222258065,,,,,
4,1,S09,,,,,,,,,118,0.537,0.004550847,7,9.14,110,0.083090909,227,63,33,132,422,294,2.03,0.006904762,,,8.05,72,0.111805556,,,,,
4,2,S09,,,,,,,,,36,0.598,0.016611111,0,15.91,115,0.138347826,776,210,179,716,1702,436,2.06,0.004724771,,,10.15,140,0.0725,,,,,
4,3,S09,,,,,,,,,38,0.558,0.014684211,2,9.59,67,0.143134328,803,222,273,1092,2117,588,4,0.006802721,,,,102,,,,,,
4,4,S09,,,,,,,,,193,2.684,0.013906736,0,30.03,94,0.319468085,651,162,89,356,1169,368,2.55,0.006929348,,,16.32,75,0.2176,,,,,
4,5,S09,,,,,,,,,153,1.32,0.008627451,0,10.51,39,0.269487179,563,84,91,364,1011,269,1.3,0.004832714,,,,97,,,,,,
4,6,S09,,,,,,,,,94,0.499,0.005308511,1,15.76,56,0.281428571,179,41,39,156,376,21,3.31,0.157619048,,,18.47,75,0.246266667,,,,,
4,7,S10,,,,,,,,,,,,,,,,,,,,,11,0.09,0.008181818,,,3.89,20,0.1945,,,,,
4,8,S10,,,,,,,,,,,,,,,,,,,,,19,0.03,0.001578947,,,0.23,8,0.02875,,,,,
4,9,S10,,,,,,,,,,,,,,,,,,,,,104,0.05,0.000480769,,,2.3,31,0.074193548,,,,,
4,10,S10,,,,,,,,,,,,,,,,,,,,,237,0.43,0.001814346,,,8.97,52,0.1725,,,,,
4,11,S10,,,,,,,,,,,,,,,,,,,,,147,1.28,0.008707483,,,7.3,40,0.1825,,,,,
4,12,S10,,,,,,,,,,,,,,,,,,,,,35,0.12,0.003428571,,,,47,,,,,,
4,13,S0910,,,,,,,,,,,,,,,,,,,,,346,0.09,0.000260116,,,12.91,39,0.331025641,,,,,
4,14,S0910,,,,,,,,,,,,,,,,,,,,,18,1.23,0.068333333,,,11.47,120,0.095583333,,,,,
4,15,S0910,,,,,,,,,,,,,,,,,,,,,76,0.06,0.000789474,,,3.94,31,0.127096774,,,,,
4,16,S0910,,,,,,,,,,,,,,,,,,,,,328,0.19,0.000579268,,,5.98,37,0.161621622,,,,,
4,17,S0910,,,,,,,,,,,,,,,,,,,,,8,1.55,0.19375,,,8.98,60,0.149666667,,,,,
4,18,S0910,,,,,,,,,,,,,,,,,,,,,348,0.03,8.62E-05,,,12.51,58,0.215689655,,,,,
4,19,S09H,,,,,,,,,43,0.282,0.00655814,0,4.02,32,0.125625,578,83,139,556,1217,11,1.6,0.145454545,,,9.48,74,0.128108108,,,,,
4,20,S09H,,,,,,,,,40,0.415,0.010375,7,1.132,6,0.188666667,754,354,280,1120,2228,369,0.07,0.000189702,,,0.69,7,0.098571429,,,,,
4,21,S09H,,,,,,,,,65,0.33,0.005076923,0,8.91,67,0.132985075,65,37,0,0,102,97,1.85,0.019072165,,,5.12,47,0.10893617,,,,,
4,22,S09H,,,,,,,,,125,0.948,0.007584,1,9.5,50,0.19,87,19,1,4,110,470,0.56,0.001191489,,,7.36,40,0.184,,,,,
4,23,S09H,,,,,,,,,56,1.144,0.020428571,0,14.57,35,0.416285714,240,27,35,140,407,491,3,0.00610998,,,5.48,52,0.105384615,,,,,
4,24,S09H,,,,,,,,,99,0.791,0.007989899,0,4.93,71,0.06943662,348,111,39,156,615,154,1.67,0.010844156,,,2.56,60,0.042666667,,,,,
4,25,F09,,,,,,,,,,,,,,,,,,,,,16,2.28,0.1425,,,3.91,37,0.105675676,,,,,
4,26,F09,,,,,,,,,,,,,,,,,,,,,724,0.38,0.000524862,,,5.92,30,0.197333333,,,,,
4,27,F09,,,,,,,,,,,,,,,,,,,,,253,2.82,0.011146245,,,24.1,26,0.926923077,,,,,
4,28,F09,,,,,,,,,,,,,,,,,,,,,261,1.87,0.007164751,,,8.46,107,0.079065421,,,,,
4,29,F09,,,,,,,,,,,,,,,,,,,,,161,,,,,5.5,36,0.152777778,,,,,
4,30,F09,,,,,,,,,,,,,,,,,,,,,56,1.2,0.021428571,,,6.35,49,0.129591837,,,,,
4,31,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,33,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,34,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,35,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,36,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,37,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,38,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,39,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,40,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,41,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,42,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,43,F09H,,,,,,,,,,,,,,,,,,,,,28,0.12,0.004285714,,,0.75,19,0.039473684,,,,,
4,44,F09H,,,,,,,,,,,,,,,,,,,,,9,0.07,0.007777778,,,1.49,5,0.298,,,,,
4,45,F09H,,,,,,,,,,,,,,,,,,,,,54,0.29,0.00537037,,,2.77,19,0.145789474,,,,,
4,46,F09H,,,,,,,,,,,,,,,,,,,,,12,0.21,0.0175,,,3.55,10,0.355,,,,,
4,47,F09H,,,,,,,,,,,,,,,,,,,,,15,0.15,0.01,,,1.56,19,0.082105263,,,,,
4,48,F09H,,,,,,,,,,,,,,,,,,,,,12,0.13,0.010833333,,,0.66,6,0.11,,,,,
4,49,H,,,,,,,,,,,,,,0,,0,0,0,0,0,10,0.08,0.008,,,,0,,,,,,
4,50,H,,,,,,,,,,,,,,0,,2,0,0,0,2,14,0.06,0.004285714,,,,0,,,,,,
4,51,H,,,,,,,,,,,,,,0,,916,84,74,296,1296,,,,,,,0,,,,,,
4,52,H,,,,,,,,,,,,,,0,,0,6,0,0,6,28,0.09,0.003214286,,,,0,,,,,,
4,53,H,,,,,,,,,,,,,,0,,0,0,0,0,0,19,0.05,0.002631579,,,,0,,,,,,
4,54,H,,,,,,,,,,,,,,74,,7,4,0,0,11,7,0.04,0.005714286,,,,0,,,,,,
4,55,REF,11.01,245,0.044938776,448,187,62,248,883,392,1.283,0.003272959,11,9.43,151,0.062450331,502,35,83,332,869,412,1.94,0.004708738,,,10.43,114,0.091491228,,,,,
4,56,REF,5.36,196,0.027346939,220,240,59,236,696,573,1.904,0.003322862,2,11.62,106,0.109622642,1236,70,318,1272,2578,623,2.52,0.004044944,,,7.24,84,0.086190476,,,,,
4,57,REF,12.55,90,0.139444444,839,485,130,520,1844,133,0.786,0.005909774,4,10.48,89,0.117752809,697,39,169,676,1412,282,1.88,0.006666667,,,3.46,36,0.096111111,,,,,
4,58,REF,12.15,117,0.103846154,504,340,82,328,1172,311,2.12,0.00681672,1,9.71,142,0.068380282,162,18,27,108,288,462,2.61,0.005649351,,,6.93,47,0.147446809,,,,,
4,59,REF,8.51,71,0.119859155,128,370,41,164,662,262,1.358,0.005183206,1,18.75,281,0.066725979,668,311,139,556,1535,389,2,0.005141388,,,9.45,92,0.102717391,,,,,
4,60,REF,11.78,166,0.070963855,947,145,90,360,1452,692,2.631,0.003802023,17,19.76,207,0.095458937,701,51,137,548,1300,545,2.78,0.005100917,,,8.07,,,,,,,
5,1,S09,,,,,,,,,9,0.011,0.001222222,0,0.375,11,0.034090909,28,7,7,28,63,16,0.11,0.006875,,,1.88,7,0.268571429,,,,,
5,2,S09,,,,,,,,,61,0.129,0.002114754,2,2.732,66,0.041393939,119,83,0,0,202,12,0.78,0.065,,,2.48,92,0.026956522,,,,,
5,3,S09,,,,,,,,,78,0.108,0.001384615,1,6.61,44,0.150227273,74,17,0,0,91,182,1.01,0.005549451,,,3.44,105,0.032761905,,,,,
5,4,S09,,,,,,,,,25,0.025,0.001,0,0.95,21,0.045238095,39,8,0,0,47,197,0.28,0.00142132,,,,4,,,,,,
5,5,S09,,,,,,,,,4,0.006,0.0015,0,1.58,18,0.087777778,56,26,0,0,82,68,0.54,0.007941176,,,1.67,25,0.0668,,,,,
5,6,S09,,,,,,,,,42,0.096,0.002285714,6,3.261,32,0.10190625,199,58,40,160,417,113,0.97,0.008584071,,,6.3,150,0.042,,,,,
5,7,S10,,,,,,,,,,,,,,,,,,,,,232,0.13,0.000560345,,,1.29,15,0.086,,,,,
5,8,S10,,,,,,,,,,,,,,,,,,,,,7,,,,,3.695,31,0.119193548,,,,,
5,9,S10,,,,,,,,,,,,,,,,,,,,,13,0.08,0.006153846,,,1.47,26,0.056538462,,,,,
5,10,S10,,,,,,,,,,,,,,,,,,,,,12,,,,,0.51,4,0.1275,,,,,
5,11,S10,,,,,,,,,,,,,,,,,,,,,24,0.14,0.005833333,,,5.43,43,0.12627907,,,,,
5,12,S10,,,,,,,,,,,,,,,,,,,,,,0.69,,,,3.13,31,0.100967742,,,,,
5,13,S0910,,,,,,,,,,,,,,,,,,,,,4,0.01,0.0025,,,0.23,3,0.076666667,,,,,
5,14,S0910,,,,,,,,,,,,,,,,,,,,,1,,,,,0.03,1,0.03,,,,,
5,15,S0910,,,,,,,,,,,,,,,,,,,,,10,0.08,0.008,,,0.58,17,0.034117647,,,,,
5,16,S0910,,,,,,,,,,,,,,,,,,,,,8,,,,,0.83,14,0.059285714,,,,,
5,17,S0910,,,,,,,,,,,,,,,,,,,,,24,0.08,0.003333333,,,1.36,10,0.136,,,,,
5,18,S0910,,,,,,,,,,,,,,,,,,,,,6,1.23,0.205,,,0.88,14,0.062857143,,,,,
5,19,S09H,,,,,,,,,0,,,0,,0,,0,0,0,0,0,0,,,,,,0,,,,,,
5,20,S09H,,,,,,,,,2,0.0001,0.00005,2,,0,,33,17,3,12,62,19,0.12,0.006315789,,,3.25,48,0.067708333,,,,,
5,21,S09H,,,,,,,,,0,,,0,,0,,21,3,0,0,24,3,0.08,0.026666667,,,0.27,3,0.09,,,,,
5,22,S09H,,,,,,,,,0,,,0,0.017,1,0.017,0,0,0,0,0,6,0.03,0.005,,,4.94,33,0.14969697,,,,,
5,23,S09H,,,,,,,,,3,0.004,0.001333333,1,,0,,0,0,0,0,0,3,0.02,0.006666667,,,0.26,3,0.086666667,,,,,
5,24,S09H,,,,,,,,,4,0.02,0.005,0,,0,,3,0,2,8,11,0,,,,,,0,,,,,,
5,25,F09,,,,,,,,,,,,,,,,,,,,,87,0.23,0.002643678,,,1.1,19,0.057894737,,,,,
5,26,F09,,,,,,,,,,,,,,,,,,,,,198,4.53,0.022878788,,,2.96,31,0.095483871,,,,,
5,27,F09,,,,,,,,,,,,,,,,,,,,,254,1.96,0.007716535,,,5.69,32,0.1778125,,,,,
5,28,F09,,,,,,,,,,,,,,,,,,,,,57,0.21,0.003684211,,,1.15,20,0.0575,,,,,
5,29,F09,,,,,,,,,,,,,,,,,,,,,40,0.51,0.01275,,,,,,,,,,
5,30,F09,,,,,,,,,,,,,,,,,,,,,40,0.39,0.00975,,,4.12,11,0.374545455,,,,,
5,31,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,32,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,33,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,34,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,35,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,36,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,37,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,38,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,39,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,40,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,41,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,42,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43,F09H,,,,,,,,,,,,,,,,,,,,,1,0.01,0.01,,,0.5,3,0.166666667,,,,,
5,44,F09H,,,,,,,,,,,,,,,,,,,,,5,0.09,0.018,,,1.97,14,0.140714286,,,,,
5,45,F09H,,,,,,,,,,,,,,,,,,,,,12,0.1,0.008333333,,,0.96,12,0.08,,,,,
