site,plot,trt,F08biom,F08stems,F08size,F08lseed,F08soseed,F08CL,F08CLX4,F08totsds,S09sects,S09sewt,S09sesz,S09sbank,F09bio,F09stems,F09size,F09lseed,F09soseed,F09CL,F09CLX4,F09totsds,S10sects,S10sewt,S10sesz,S10banksoil,S10bankthatch,F10bio,F10stems,F10size,F10lseed,F10soseed,F10CL,F10CLX4,F10totsds
5,46,F09H,,,,,,,,,,,,,,,,,,,,,9,0.1,0.011111111,,,1.99,11,0.180909091,,,,,
5,47,F09H,,,,,,,,,,,,,,,,,,,,,8,0.03,0.00375,,,0.24,7,0.034285714,,,,,
5,48,F09H,,,,,,,,,,,,,,,,,,,,,25,0.14,0.0056,,,1.14,15,0.076,,,,,
5,49,H,,,,,,,,,,,,,,0,,0,0,0,0,0,7,0.08,0.011428571,,,0.01,1,0.01,,,,,
5,50,H,,,,,,,,,,,,,,0,,0,0,0,0,0,8,0.07,0.00875,,,,0,,,,,,
5,51,H,,,,,,,,,,,,,,0,,0,1,0,0,1,9,,,,,,0,,,,,,
5,52,H,,,,,,,,,,,,,,0,,0,0,0,0,0,7,0.03,0.004285714,,,,0,,,,,,
5,53,H,,,,,,,,,,,,,,0,,0,0,0,0,0,9,0.02,0.002222222,,,,0,,,,,,
5,54,H,,,,,,,,,,,,,,0,,0,1,0,0,1,3,0.01,0.003333333,,,,0,,,,,,
5,55,REF,4.71,125,0.03768,317,126,33,132,575,174,0.515,0.00295977,5,4.748,149,0.031865772,370,56,112,448,874,274,1.26,0.00459854,,,3.91,162,0.024135802,,,,,
5,56,REF,2.35,77,0.030519481,49,81,12,48,178,108,0.5,0.00462963,0,1.188,40,0.0297,20,12,44,176,208,101,0.5,0.004950495,,,1.1,14,0.078571429,,,,,
5,57,REF,3.66,157,0.023312102,319,108,23,92,519,154,0.402,0.00261039,4,2.142,113,0.018955752,202,12,70,280,494,237,1.5,0.006329114,,,5.16,38,0.135789474,,,,,
5,58,REF,2.31,57,0.040526316,40,96,20,80,216,47,,,2,2.42,69,0.035072464,25,23,0,0,48,302,1.58,0.005231788,,,1.4,76,0.018421053,,,,,
5,59,REF,4.68,120,0.039,132,90,6,24,246,163,0.455,0.002791411,5,2.257,93,0.024268817,261,48,67,268,577,185,1.26,0.006810811,,,3.61,35,0.103142857,,,,,
5,60,REF,3.37,198,0.017020202,70,236,44,176,482,231,0.417,0.001805195,2,,61,,274,4,65,260,538,391,1.48,0.003785166,,,3.47,36,0.096388889,,,,,
6,1,S09,,,,,,,,,102,0.152,0.001490196,4,6.342,61,0.103967213,496,121,64,256,873,288,1.22,0.004236111,,,4.07,37,0.11,,,,,
6,2,S09,,,,,,,,,116,0.381,0.003284483,3,12.77,153,0.083464052,415,168,219,876,1459,469,1.94,0.004136461,,,9.4,12,0.783333333,,,,,
6,3,S09,,,,,,,,,70,0.102,0.001457143,0,3.06,27,0.113333333,269,56,128,512,837,272,1.27,0.004669118,,,1.23,4,0.3075,,,,,
6,4,S09,,,,,,,,,70,0.118,0.001685714,1,4.65,17,0.273529412,452,51,211,844,1347,179,0.63,0.003519553,,,1.28,10,0.128,,,,,
6,5,S09,,,,,,,,,59,0.09,0.001525424,8,10.49,99,0.105959596,418,213,94,376,1007,564,1.74,0.003085106,,,7.2,68,0.105882353,,,,,
6,6,S09,,,,,,,,,82,0.174,0.002121951,25,11.43,30,0.381,638,93,204,816,1547,173,3.08,0.017803468,,,8.18,18,0.454444444,,,,,
6,7,S10,,,,,,,,,,,,,,,,,,,,,104,1.26,0.012115385,,,5.07,24,0.21125,,,,,
6,8,S10,,,,,,,,,,,,,,,,,,,,,128,0.22,0.00171875,,,6.37,32,0.1990625,,,,,
6,9,S10,,,,,,,,,,,,,,,,,,,,,308,0.56,0.001818182,,,6.68,58,0.115172414,,,,,
6,10,S10,,,,,,,,,,,,,,,,,,,,,57,0.23,0.004035088,,,3.26,18,0.181111111,,,,,
6,11,S10,,,,,,,,,,,,,,,,,,,,,37,0.2,0.005405405,,,1.59,11,0.144545455,,,,,
6,12,S10,,,,,,,,,,,,,,,,,,,,,46,0.19,0.004130435,,,0.97,3,0.323333333,,,,,
6,13,S0910,,,,,,,,,,,,,,,,,,,,,57,0.52,0.009122807,,,,20,,,,,,
6,14,S0910,,,,,,,,,,,,,,,,,,,,,33,0.15,0.004545455,,,7.91,38,0.208157895,,,,,
6,15,S0910,,,,,,,,,,,,,,,,,,,,,27,0.07,0.002592593,,,6.82,33,0.206666667,,,,,
6,16,S0910,,,,,,,,,,,,,,,,,,,,,67,0.18,0.002686567,,,2.72,25,0.1088,,,,,
6,17,S0910,,,,,,,,,,,,,,,,,,,,,38,0.1,0.002631579,,,7.55,20,0.3775,,,,,
6,18,S0910,,,,,,,,,,,,,,,,,,,,,2,0.03,0.015,,,0.76,13,0.058461538,,,,,
6,19,S09H,,,,,,,,,11,0.031,0.002818182,11,0,0,,72,45,3,12,129,56,0.31,0.005535714,,,2.37,13,0.182307692,,,,,
6,20,S09H,,,,,,,,,98,0.165,0.001683673,5,1.562,53,0.029471698,136,20,5,20,176,9,0.04,0.004444444,,,4.03,30,0.134333333,,,,,
6,21,S09H,,,,,,,,,0,,,0,1.1,3,0.366666667,157,8,0,0,165,3,0.01,0.003333333,,,1.715,2,0.8575,,,,,
6,22,S09H,,,,,,,,,74,0.258,0.003486486,5,1.23,18,0.068333333,68,18,34,136,222,9,0.05,0.005555556,,,2.04,6,0.34,,,,,
6,23,S09H,,,,,,,,,1,0.002,0.002,1,0.96,12,0.08,96,36,66,264,396,123,0.64,0.005203252,,,2.84,9,0.315555556,,,,,
6,24,S09H,,,,,,,,,5,0.028,0.0056,4,2.574,26,0.099,255,35,108,432,722,399,0.01,2.51E-05,,,9.35,40,0.23375,,,,,
6,25,F09,,,,,,,,,,,,,,,,,,,,,199,2.54,0.012763819,,,15.41,47,0.32787234,,,,,
6,26,F09,,,,,,,,,,,,,,,,,,,,,92,0.54,0.005869565,,,3.82,22,0.173636364,,,,,
6,27,F09,,,,,,,,,,,,,,,,,,,,,237,2.23,0.009409283,,,7.42,47,0.15787234,,,,,
6,28,F09,,,,,,,,,,,,,,,,,,,,,143,,,,,1.35,26,0.051923077,,,,,
6,29,F09,,,,,,,,,,,,,,,,,,,,,257,1.29,0.005019455,,,3.03,30,0.101,,,,,
6,30,F09,,,,,,,,,,,,,,,,,,,,,29,0.21,0.007241379,,,0.91,9,0.101111111,,,,,
6,31,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,32,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,33,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,35,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,36,F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,37,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,38,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,39,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,41,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,42,F0910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,43,F09H,,,,,,,,,,,,,,,,,,,,,7,0.04,0.005714286,,,1.37,8,0.17125,,,,,
6,44,F09H,,,,,,,,,,,,,,,,,,,,,2,0.01,0.005,,,0.03,2,0.015,,,,,
6,45,F09H,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,,,,,,
6,46,F09H,,,,,,,,,,,,,,,,,,,,,0,,,,,0.32,3,0.106666667,,,,,
6,47,F09H,,,,,,,,,,,,,,,,,,,,,6,0.09,0.015,,,0.05,2,0.025,,,,,
6,48,F09H,,,,,,,,,,,,,,,,,,,,,1,0.01,0.01,,,0.4,4,0.1,,,,,
6,49,H,,,,,,,,,,,,,,0,,0,0,0,0,0,6,0.02,0.003333333,,,0.08,1,0.08,,,,,
6,50,H,,,,,,,,,,,,,,0,,0,0,0,0,0,1,0.01,0.01,,,0.04,1,0.04,,,,,
6,51,H,,,,,,,,,,,,,,0,,0,1,0,0,1,225,0.04,0.000177778,,,,0,,,,,,
6,52,H,,,,,,,,,,,,,,0,,0,1,0,0,1,2,,,,,,0,,,,,,
6,53,H,,,,,,,,,,,,,,0,,1,0,0,0,1,,0.07,,,,,2,,,,,,
6,54,H,,,,,,,,,,,,,,0,,0,1,0,0,1,0,,,,,,0,,,,,,
6,55,REF,3.66,80,0.04575,211,331,202,808,1350,403,2.084,0.005171216,24,16.61,375,0.044293333,643,40,201,804,1487,368,1.45,0.003940217,,,4.68,15,0.312,,,,,
6,56,REF,11.14,191,0.058324607,65,128,,,,478,1.909,0.003993724,5,12.7,124,0.102419355,730,263,246,984,1977,497,2.63,0.005291751,,,5.87,13,0.451538462,,,,,
6,57,REF,11.12,108,0.102962963,120,398,101,404,922,372,1.196,0.003215054,12,5.53,106,0.052169811,310,71,110,440,821,,2.72,,,,4.99,23,0.216956522,,,,,
6,58,REF,10.58,32,0.330625,111,683,42,168,962,456,2.103,0.004611842,10,15.84,87,0.182068966,439,108,95,380,927,348,1.29,0.003706897,,,4.43,15,0.295333333,,,,,
6,59,REF,19.92,66,0.301818182,571,615,126,504,1690,612,3.953,0.00645915,7,24.14,64,0.3771875,559,62,97,388,1009,377,2.22,0.005888594,,,,27,,,,,,
6,60,REF,35.3,243,0.14526749,338,1172,121,484,1994,471,1.641,0.003484076,6,18.05,326,0.055368098,339,20,43,172,531,198,1.17,0.005909091,,,17.35,58,0.299137931,,,,,
